ru;en;kcal;catRu;catEn;gr
Говядина по-Азиатски с Овощами;Asian Beef with Vegetables;150;Горячее;Main Courses;150
Говядина по-Китайски;Beef Chinese-style;220;Горячее;Main Courses;
Говядина по-Строгановски;Beef Stroganoff;190;Горячее;Main Courses;160
Говядина по-Сычуански;Sichuan Style Beef;200;Горячая Закуска;Hot Starters;120
Говядина по-Сычуански с Древесными Грибами;Sichuan-style Beef with Wood Ear Fungus;232;Горячая Закуска;Hot Starters;100
Говядина Су-вид в Соусе из Овощей;Sous-vide Beef in Vegetable Sauce;;Горячее;Main Courses;
Говядина Томленая в Соусе из Овощей;Stewed Beef in Vegetable Sauce;140;Горячее;Main Courses;150
Говядина Тушеная в Красном Вине;Beef Stewed in Red Wine;220;Горячее;Main Courses;140
Говядина Тушеная в Соусе из Овощей;Beef Stew in Vegetable Sauce;130;Горячее;Main Courses;150
Говядина Тушеная с Овощами;Beef Stew with Vegetables;;Горячее;Main Courses;
Говядина Тушенная с Черносливом;Braised Beef with Prunes;130;Горячее;Main Courses;145
Говяжьи Медальоны Гриль;Grilled Beef Medallions;;Горячее;Main Courses;
Говяжьи Ребра Запеченные;Baked Beef Ribs;330;Горячее;Main Courses;
Говяжьи Хвосты Томленые в Красном Вине;Beef Tails Stewed in Red Wine;250;Горячее;Main Courses;150
Голубика;Blueberry;57;Завтрак;Breakfast;20
Голубцы;Stuffed Cabbage Rolls;130;Горячее;Main Courses;150
Голубцы в Савойской Капусте с Телятиной;Savoy Cabbage Rolls with Veal;90;Горячее;Main Courses;
Голубцы в Томатном Соусе;Cabbage Rolls with Tomato Sauce;130;Горячее;Main Courses;
Голубцы Домашние;Homemade Cabbage Rolls;140;Горячее;Main Courses;150
Голубцы из Телятины;Veal Cabbage Rolls;135;Горячее;Main Courses;130
Голубцы из Ягненка;Lamb Stuffed Cabbage Rolls;150;Горячее;Main Courses;180
Голубцы Куриные;Cabbage Rolls with Chicken;115;Горячее;Main Courses;150
Голубцы Рыбные;Fish Stuffed Cabbage Rolls;120;Горячее;Main Courses;
Голубцы с Курицей;Stuffed Cabbage Rolls with Chicken;150;Горячее;Main Courses;
Голубцы с Курицей на Пару;Steamed Chicken Cabbage Rolls;100;Горячая Закуска;Hot Starters;100
Голубцы с Телятиной;Cabbage Rolls with Veal;172;Горячее;Main Courses;125
Голубцы с Ягненком;Stuffed Cabbage Rolls with Lamb;130;Горячее;Main Courses;110
Голяшка Ягнёнка Тушёная с Овощами;Lamb Shank Stewed with Vegetables;128;Горячее;Main Courses;180
Гороховый Суп;Pea Soup;80;Супы;Soups;200
Гороховый Суп с Копченостями;Pea Soup with Smoked Meats;80;Супы;Soups;200
Горячие Бутерброды с Колбасой, Яйцом и Сыром;Hot Sandwiches with Sausage, Egg and Cheese;290;Завтрак;Breakfast;
Горячий Бутерброд;Hot Sandwich;230;Завтрак;Breakfast;
Горячий Бутерброд на Безглютеновой Булочке с Цыпленком;Hot Gluten-Free Bun Sandwich with Chicken;210;Завтрак;Breakfast;60
Горячий Бутерброд с Помидором и Сыром;Hot Sandwich with Tomato and Cheese;120;Завтрак;Breakfast;45
Горячий Бутерброд с Сыром;Hot Cheese Sandwich;290;Завтрак;Breakfast;
Горячий Бутерброд с Телятиной;Hot Sandwich with Veal;220;Завтрак;Breakfast;50
Греческий Йогурт;Greek Yogurt;70;Завтрак;Breakfast;
Гречишные Блинчики;Buckwheat Crepes;190;Завтрак;Breakfast;
Гречишные Блинчики с Бананом;Buckwheat Pancakes with Banana;150;Завтрак;Breakfast;100
Гречишные Блинчики с Творогом;Buckwheat Pancakes with Cottage Cheese;115;Завтрак;Breakfast;100
Гречишные Оладьи на Кефире; Buckwheat Pancakes on Kefir;220;Завтрак;Breakfast;
Гречка;Buckwheat;110;Гарнир;Side Dishes;100
Гречка Отварная;Buckwheat Boiled;110;Гарнир;Side Dishes;100
Гречка с Зеленым Луком;Buckwheat with Green Onions;115;Гарнир;Side Dishes;
Гречка с Луком;Buckwheat with Onions;125;Гарнир;Side Dishes;100
Гречка с Луком и Грибами;Buckwheat with Onions and Mushrooms;130;Гарнир;Side Dishes;
Гречка с Луком и Зеленью;Buckwheat with Onions and Greens;;Гарнир;Side Dishes;
Гречка с Овощами;Buckwheat with Vegetables;115;Гарнир;Side Dishes;
Гречка с Паровыми Овощами;Buckwheat with Steamed Vegetables;;Гарнир;Side Dishes;
Гречка с Соевым Соусом;Buckwheat with Soy Sauce;125;Гарнир;Side Dishes;
Гречка с Тушенкой;Buckwheat with stew;160;Горячее;Main Courses;120
Гречневая Лапша с Говядиной и овощами;Buckwheat Noodles with Beef and Vegetables;200;Горячее;Main Courses;
Гречневая Лапша с Телятиной по-Азиатски;Asian Style Buckwheat Noodles with Veal;190;Горячее;Main Courses;
Гречневые Блинчики с Творогом;Buckwheat Crepes with Cottage Cheese;120;Завтрак;Breakfast;80
Гречневые Блины с Мясом;Buckwheat Pancakes with Meat;180;Завтрак;Breakfast;
Гречотто с Пастрами и Лисичками;Grechotto with Pastrami and Chanterelles;180;Горячее;Main Courses;
Гречотто с Перепелкой;Grechotto with Quail;170;Горячее;Main Courses;
Грибная Похлебка;Mushroom Stew;60;Супы;Soups;200
Грибной Суп;Mushroom Soup;75;Супы;Soups;200
Груша;Pear;50;Завтрак;Breakfast;30
Груша Запечённая с Орехами;Baked Pear with Nuts;110;Завтрак;Breakfast;120
Гуакамоле; Guacamole;185;Завтрак;Breakfast;
Гуляш из Говядины;Beef Goulash;120;Горячее;Main Courses;150
Гуляш из Говяжьей Вырезки;Beef Tenderloin Goulash;220;Горячее;Main Courses;160
Гуляш из Индейки;Turkey Goulash;150;Горячее;Main Courses;150
Гуляш из Телячьей Вырезки; Veal Tenderloin Goulash;172;Горячее;Main Courses;
Гуляш из Ягненка;Lamb Goulash;190;Горячее;Main Courses;
Гушт-Сай;Gusht Say;220;Горячая Закуска;Hot Starters;
Гушт-Сай из Говядины с Овощами;Gusht Say with Beef and Vegetables;190;Горячее;Main Courses;
Дал из Чечевицы;Lentil Dal;120;Гарнир;Side Dishes;
Джаз;Jazz;250;Шашлык;BBQ;120
Джигар;Jigar;246;Шашлык;BBQ;150
Димляма из Индейки;Turkey Dimlama;130;Горячее;Main Courses;150
Димляма из Курицы;Chicken Dimlyama;110;Горячее;Main Courses;
Димляма из Телятины;Veal Dimlyama;100;;;170
Димляма с Телячьей Корейкой;Dimlyama with Veal Loin;250;Горячее;Main Courses;98
Димляма с Цыпленком;Dimlama with Chicken;165;Горячее;Main Courses;
Димляма с Ягненком;Lamb Dimlyama;106;Горячее;Main Courses;200
Доверсоль а ля Меньер; Dover Sole a la Meuniere;160;Горячее;Main Courses;150
Долма;Dolma;140;Горячее;Main Courses;
Долма с Телятиной;Dolma with Veal;160;Горячее;Main Courses;150
Долма с Ягненком;Lamb Dolma;210;Горячее;Main Courses;150
Дорадо Гриль;Dorado Grill;120;Горячее;Main Courses;150
Дорадо Запечённая;Oven Baked Dorado;230;Горячее;Main Courses;150
Дорадо на Пару;Steamed Dorado;110;Горячее;Main Courses;150
Дорадо Су-вид;Dorado Sous-vide;;Горячее;Main Courses;
Дорадо Су-вид с Соусом Тар-тар;Dorado Sous Vide with Tartar Sauce;;Горячее;Main Courses;
Драники из Кабачка;Zucchini Draniki;;Горячее;Main Courses;
Драники с Рагу из Говядины;Potato Pancakes with Beef Stew;220;Закуска;Starters;
Жареная Говядина с Луком;Fried Beef with Onions;200;Горячее;Main Courses;
Жареное Каре Ягненка;Grilled Rack of Lamb;270;Горячее;Main Courses;150
Жареные Кабачки; Roasted Zucchini;130;;;100
Жареный Лагман;Fried Lagman;220;Горячее;Main Courses;120
Жареный Рис;Fried Rice;180;Гарнир;Side Dishes;100
Жаркое из Курицы с Овощами;Chicken Stew with Vegetables;120;Горячее;Main Courses;180
Жаркое из Ягненка с Картофелем;Roast Lamb with Potatoes;140;Горячее;Main Courses;150
Жаркое по-Домашнему;Home?Style Stew;160;Горячее;Main Courses;150
Жаркое с Индейкой;Roast Turkey;;Горячее;Main Courses;
Жаркое с Ягнёнком;Roast with Lamb;180;Горячее;Main Courses;150
Жульен;Julienne;180;Закуска;Starters;100
Жульен из Курицы;Chicken Julienne;190;Закуска;Starters;75
Заливное из Осетрины;Sturgeon Jellied;110;Горячее;Main Courses;120
Заливные Куриные Потрошки;Chicken Giblets;175;Холодная Закуска;Cold Starters;
Запеканка;Casserole;230;Завтрак;Breakfast;
Запеканка с Рикоттой и Сливой;Ricotta and Plum Casserole;130;Завтрак;Breakfast;150
Запеканка Творожная;Cottage Cheese Casserole;182;Завтрак;Breakfast;70
Запеканка Творожная с Вишней;Cottage Cheese Casserole with Cherries;200;Завтрак;Breakfast;
Запеканка Творожная с Изюмом;Cottage Cheese Casserole with Raisins;140;Завтрак;Breakfast;100
Запеканка Творожная с Курагой;Cottage Cheese Casserole with Dried Apricots;150;Завтрак;Breakfast;80
Запеканка Творожная с Яблоками;Cottage Cheese Casserole with Apples;160;Завтрак;Breakfast;80
Запечённая Домашняя Курочка;Baked Homemade Chicken;180;Супы;Soups;140
Запечённая Мозговая Косточка;Baked Marrowbone;380;Закуска;Starters;45
Запеченная Молодая Капуста;Baked Young Cabbage;50;Закуска;Starters;
Запеченная Утиная Грудка;Baked Duck Breast;200;Горячее;Main Courses;150
Запеченная Утиная Грудка с Яблоками;Baked Duck Breast with Apples;195;Горячее;Main Courses;150
Запеченное Бедро Индейки; Baked Turkey Thigh;180;Горячее;Main Courses;150
Запеченное Бедро Индейки с Картофелем;Baked Turkey Thigh with Potatoes;140;Горячее;Main Courses;
Запеченное Филе Дорадо;Baked Dorado Fillet;120;Горячее;Main Courses;180
"Запеченное Филе Дорадо ""Аль Изолана""";"Baked Dorado Fillet ""Al Isolana""";135;Горячее;Main Courses;130
Запеченное Филе Сибаса;Baked Sea Bass Fillet;110;Горячее;Main Courses;160
Запеченное Филе Сибаса с Овощами;Baked Sea Bass Fillet with Vegetables;140;Горячее;Main Courses;
Запеченное Филе Сибаса со Спаржей и Соусом из Шпината;Baked Sea Bass Fillet with Asparagus and Spinach Sauce;180;Горячее;Main Courses;150
Запеченное Филе Трески;Baked Cod Fillet;84;Горячее;Main Courses;
Запеченные Котлеты из Сибаса;Baked Sea Bass Cutlets;140;Горячее;Main Courses;
Запеченные Котлеты из Телятины;Baked Veal Cutlets;230;Горячее;Main Courses;160
Запеченные Перцы с Телятиной;Baked Peppers with Veal;120;Горячее;Main Courses;150
Запеченные Фрикадельки из Ягненка;Baked Lamb Meatballs;190;Горячее;Main Courses;150
Запеченный Камчатский Краб с Тартаром из Гребешка;Baked Kamchatka Crab with Scallop Tartare;110;Горячее;Main Courses;
Запеченный Лосось в Кисло-Сладком Соусе;Baked Salmon with Sweet and Sour Sauce;;Салаты;Salads;
Запеченный Лосось с Соусом Песто;Baked Salmon with Pesto Sauce;210;Горячее;Main Courses;
Запеченный Мини Картофель;Baked Mini Potatoes;128;Гарнир;Side Dishes;
Запеченный Мини Романо;Baked Mini Romano;100;Гарнир;Side Dishes;50
Запеченный Молодой Картофель;Baked New Potatoes;110;Гарнир;Side Dishes;100
Запеченный Молодой Картофель с Травами;Baked New Potatoes with Herbs;;Гарнир;Side Dishes;
Запеченный Порей с Апельсином и Анчоусами;Oven Baked Leeks with Oranges and Anchovies;130;Горячая Закуска;Hot Starters;100
Запеченный Стейк из Сёмги;Baked Salmon Steak;160;Горячее;Main Courses;140
Запечёный Порей с Апельсином и Анчоусом;Oven Backed Leeks with Oranges and Anchovies;130;Горячая Закуска;Hot Starters;100
Зеленая Спаржа;Green Asparagus;25;Гарнир;Side Dishes;50
Зеленая Фасоль Тушеная в Томатах;Green Beans Stewed in Tomatoes;;Гарнир;Side Dishes;
Зеленый Микс-Салат с Овощами;Green Mixed Salad with Vegetables;40;Салаты;Salads;
Зеленый Салат;Green Salad;16;Салаты;Salads;120
Зеленый Салат из Шпината с Козьим Сыром;Green Spinach Salad with Goat Cheese;170;Салаты;Salads;200
Зеленый Салат с Авокадо и Соусом Песто;Green Salad with Avocado and Pesto;180;Салаты;Salads;150
Зеленый Салат с Бобами Эдамаме;Green Salad with Edamame Beans;85;Салаты;Salads;
Зеленый Салат с Крабом;Green Salad with Crab;70;Салаты;Salads;120
Зеленый Салат с Соусом Песто;Green Salad with Pesto Dressing;160;Салаты;Salads;
Зеленый Салат с Фенхелем;Green Salad with Fennel;30;Салаты;Salads;
Зеленый Суп-пюре из Цукини, Сельдерея и Шпината;Green Cream Soup with Zucchini, Celery, and Spinach;55;Супы;Soups;200
Иваси;Iwashi;180;Закуска;Starters;100
Икра из Овощей Домашняя;Homemade Vegetable Caviar;55;Салаты;Salads;120
Икра из Печеных Овощей;Baked Vegetable Caviar;80;Салаты;Salads;100
Икра Красная;Red Caviar;250;Закуска;Starters;80
Икра Овощная;Vegetable Caviar;90;Салаты;Salads;75
Икра Овощная с Зеленью;Vegetable Caviar with Greens;80;Гарнир;Side Dishes;120
Икра Черная;Black Caviar;230;Закуска;Starters;80
Индейка Запеченная с Овощами;Baked Turkey with Vegetables;150;Горячее;Main Courses;
Инжир;Figs;54;Завтрак;Breakfast;
Кабачки на Сковороде;Pan Fried Zucchini;45;Гарнир;Side Dishes;75
Какао;Cocoa;30;Завтрак;Breakfast;
Кальмары Дьяволо;Diavolo's Squid;110;Горячая Закуска;Hot Starters;80
Кальмары с Белой Спаржей в Томатном Соусе;Squid with White Asparagus in Tomato Sauce;95;Горячая Закуска;Hot Starters;120
Кальмары Фаршированные в Томатном Соусе;Squid Stuffed in Tomato Sauce;150;Закуска;Starters;75
Капуста Брюссельская;Brussels Sprouts;45;Гарнир;Side Dishes;100
Капуста Тушеная; Stewed Cabbage;65;Гарнир;Side Dishes;100
Капуста Тушеная с Томатами;Cabbage Stewed with Tomatoes;;Салаты;Salads;
Капуста Цветная и Брокколи;Cauliflower and Broccoli;70;Гарнир;Side Dishes;
Капуста Цветная и Брокколи с Сыром и Яйцом;Cauliflower and Broccoli with Cheese and Egg;120;Гарнир;Side Dishes;
Капуста Цветная Соте;Sauteed Cauliflower;32;Гарнир;Side Dishes;150
Карабинерос в Сухарях Панко;Carabineros Fried in Panko;200;Горячая Закуска;Hot Starters;60
Карабинерос с Томатом;Carabineros with Tomatoes;210;Горячая Закуска;Hot Starters;60
Каре Теленка;Rack of Veal;230;Горячее;Main Courses;
Каре Теленка Томленое;Stewed Veal Rack;220;Горячее;Main Courses;
Каре Ягненка;Rack of Lamb;240;Горячее;Main Courses;
Каре Ягненка на Сковороде Гриль;Rack of Lamb on a Grill Pan;220;Горячее;Main Courses;150
Каре Ягненка с Тыквой и Луком;Rack of Lamb with Pumpkin and Onions;240;Горячее;Main Courses;
Каре Ягненка Тушёное с Луком;Rack of Lamb Stewed with Onions;;Горячее;Main Courses;
Карп по-Ташкенски;Tashkent Style Сarp;127;Горячее;Main Courses;150
Карпачо из Креветок Карабинеро;Carpaccio Carabinero;95;Горячее;Main Courses;50
Карпачо из Креветок Карабинеро и Лангустин;Carpaccio Carabinero and Langoustine;95;Горячее;Main Courses;
Карпаччо из Томатов;Tomato Carpaccio;35;Салаты;Salads;150
Карпаччо из Цветной Капусты;Cauliflower Carpaccio;35;Холодная Закуска;Cold Starters;60
Карпаччо из Цукини;Zucchini Carpaccio;50;Холодная Закуска;Cold Starters;75
Картофель Батат Гриль;Grilled Sweet Potatoes;95;Гарнир;Side Dishes;
Картофель Гриль;Grilled Potatoes;95;Гарнир;Side Dishes;
Картофель Жаренный;Roasted Potatoes;190;Гарнир;Side Dishes;150
Картофель Жаренный с Лисичками;Roasted Potatoes with Chanterelles;135;Горячее;Main Courses;
Картофель Запеченный;Baked Potatoes;90;Гарнир;Side Dishes;100
Картофель по-Деревенски;Country-style Potatoes;150;Гарнир;Side Dishes;
Картофель по-Домашнему;Home-style Potatoes;150;Гарнир;Side Dishes;
Картофель с Мясом и Зеленью;Potatoes with Meat and Greens;162;Горячее;Main Courses;150
Картофель с Топпингом;Potatoes with Topping;200;Горячее;Main Courses;
Картофель Фри;French Fries;310;Гарнир;Side Dishes;
Картофель Черри;Cherry Potatoes;90;Гарнир;Side Dishes;
Картофель Черри Запеченный;Baked Cherry Potatoes;100;Гарнир;Side Dishes;
Картофельная Вафля с Творожным Сыром и Лососем;Potato Waffle with Cream Cheese and Salmon;180;Завтрак;Breakfast;80
Картофельное Пюре;Mashed Potatoes;115;Гарнир;Side Dishes;100
Картофельное Пюре без Молока;Mashed Potatoes without Milk;90;Гарнир;Side Dishes;
Картофельное Пюре с Жареным Луком;Mashed Potatoes with Fried Onions;90;Гарнир;Side Dishes;
Картофельное Пюре со Шпинатом;Mashed Potatoes with Spinach;120;Гарнир;Side Dishes;
Картофельные Дольки;Potato Wedges;120;Гарнир;Side Dishes;120
Картофельные Драники;Potato Pancakes;180;Гарнир;Side Dishes;
Картофельный Гратен;Potato Gratin;150;Гарнир;Side Dishes;100
Картошка Отварная;Boiled Potatoes;86;Гарнир;Side Dishes;
Катык;Katyk;54;Завтрак;Breakfast;
Катык с Гранолой;Katyk with Granola;120;Завтрак;Breakfast;150
Каччукко с Морепродуктами;Cacciucco with Seafood;130;Горячее;Main Courses;
Каша Гречневая;Buckwheat Porridge;110;Завтрак;Breakfast;
Каша Гречневая на Молоке;Buckwheat Porridge with Milk;70;Завтрак;Breakfast;150
Каша из Зеленой Гречки;Green Buckwheat Porridge;110;;;150
Каша из Зеленой Гречки на Молоке;Green Buckwheat Porridge with Milk;110;Завтрак;Breakfast;150
Каша Манная на Кокосовом Молоке;Semolina Porridge with Coconut Milk;130;Завтрак;Breakfast;150
Каша Манная с Вареньем;Semolina Porridge with Jam;110;Завтрак;Breakfast;150
Каша Манная с Вишневым Вареньем;Semolina Porridge with Cherry Jam;120;Завтрак;Breakfast;150
Каша Манная с Земляникой;Semolina Porridge with Wild Strawberries;120;Завтрак;Breakfast;
Каша Манная с Земляничным Вареньем;Semolina Porridge with Wild Strawberry Jam;120;Завтрак;Breakfast;
Каша на Бульоне;Porridge in Broth;110;Завтрак;Breakfast;150
Каша Овсяная;Oatmeal Porridge;110;Завтрак;Breakfast;120
Каша Овсяная на Бульоне;Oatmeal Porridge with Bouillon;110;Завтрак;Breakfast;200
Каша Овсяная на Воде;Oatmeal Porridge on Water;68;Завтрак;Breakfast;
Каша Овсяная на Воде с Курагой;Oatmeal Porridge with Dried Apricots;85;Завтрак;Breakfast;
Каша Овсяная на Молоке;Oatmeal Porridge on Milk;102;Завтрак;Breakfast;150
Каша Овсяная по-Швейцарский;Swiss Oatmeal Porridge;120;Завтрак;Breakfast;150
Каша Овсяная с Ягодами;Oatmeal with Berries;100;Завтрак;Breakfast;200
Каша по-Швейцарски;Oatmeal Porridge Swiss-style;100;Завтрак;Breakfast;150
Каша Пшенная;Millet Porridge;90;Завтрак;Breakfast;200
Каша Пшенная на Кокосовом Молоке;Millet Porridge with Coconut Milk;155;Завтрак;Breakfast;150
Каша Пшенная на Молоке с Вареньем;Millet Porridge with Milk and Jam;150;Завтрак;Breakfast;
Каша Пшенная с Тыквой;Millet Porridge with Pumpkin;65;Завтрак;Breakfast;200
Каша Пшенная с Ягодами;Millet Porridge with Berries;120;Завтрак;Breakfast;
Каша Рисовая;Rice Porridge;115;Завтрак;Breakfast;150
Каша Рисовая на Воде;Rice Porridge with Water;78;Завтрак;Breakfast;
Каша Рисовая с Тыквой;Rice Porridge with Pumpkin;90;Завтрак;Breakfast;150
Каша Рисовая с Яблоком и Корицей;Rice Porridge with Apple and Cinnamon;125;Завтрак;Breakfast;200
Квашенная Капуста с Ароматным Маслом;Sauerkraut with Fragrant Oil;45;Салаты;Salads;
Кесадилья с Курицей;Chicken Quesadilla;240;Завтрак;Breakfast;50
Кефир;Kefir;40;Завтрак;Breakfast;
Киви;Kiwi;48;Завтрак;Breakfast;30
Киноа с Овощами;Quinoa with Vegetables;120;Гарнир;Side Dishes;
Киш с Брокколи и Цветной Капустой;Quiche with Broccoli and Cauliflower;210;Завтрак;Breakfast;
